# Directed and weighted edge list
# FromNodeId ToNodeId Weight
0 5 2.5
1 3 1.8
2 7 3.2
4 6 2.1
8 9 1.5
3 10 2.8
5 11 1.9
7 12 2.3
6 13 1.7
9 14 2.4
0 15 3.1
1 16 2.2
2 17 1.6
4 18 2.9
8 19 1.4
3 20 2.7
5 21 1.8
7 22 2.5
6 23 1.9
9 24 2.3
0 25 3.0
1 26 2.1
2 27 1.7
4 28 2.8
8 29 1.5
3 30 2.6
5 31 1.8
7 32 2.4
6 33 1.9
9 34 2.2
0 35 3.2
1 36 2.3
2 37 1.6
4 38 2.7
8 39 1.5
3 40 2.5
5 41 1.9
7 42 2.3
6 43 1.8
9 44 2.1
0 45 3.0
1 46 2.2
2 47 1.7
4 48 2.8
8 49 1.4
0 50 2.9
1 51 2.0
2 52 1.8
4 53 2.6
8 54 1.6
3 55 2.4
5 56 1.7
7 57 2.2
6 58 1.9
9 59 2.0
0 60 3.1
1 61 2.3
2 62 1.5
4 63 2.7
8 64 1.4
3 65 2.5
5 66 1.8
7 67 2.3
6 68 1.7
9 69 2.1
0 70 3.0
1 71 2.2
2 72 1.6
4 73 2.8
8 74 1.5 
